conceptSynonym,conceptName
"호스피스 종합병원 임종실, 간호사2등급, 사회복지사1등급(보조활동포함)","Hospice general hospital deathbed room, 2nd grade nurse, 1st grade social worker (assistance activity Included)"
"호스피스 종합병원 임종실, 간호사2등급, 사회복지사2등급(보조활동포함)","Hospice general hospital deathbed room, 2nd grade nurse, 2nd grade social worker (assistance activity Included)"
호스피스 병원 임종실(보조활동포함),Hospice hospital deathbed room (assistance activity Included)
"호스피스 병원 임종실, 사회복지사1등급(보조활동포함)","Hospice hospital deathbed room, 1st grade social worker (assistance activity Included)"
"호스피스 병원 임종실, 사회복지사2등급(보조활동포함)","Hospice hospital deathbed room, 2nd grade social worker (assistance activity Included)"
"호스피스 병원 임종실, 간호사1등급(보조활동포함)","Hospice hospital deathbed room, 1st grade nurse (assistance activity Included)"
"호스피스 병원 임종실, 간호사1등급, 사회복지사1등급(보조활동포함)","Hospice hospital deathbed room, 1st grade nurse, 1st grade social worker (assistance activity Included)"
"호스피스 병원 임종실, 간호사1등급, 사회복지사2등급(보조활동포함)","Hospice hospital deathbed room, 1st grade nurse, 2nd grade social worker (assistance activity Included)"
"호스피스 병원 임종실, 간호사2등급(보조활동포함)","Hospice hospital deathbed room, 2nd grade nurse (assistance activity Included)"
"호스피스 병원 임종실, 간호사2등급, 사회복지사1등급(보조활동포함)","Hospice hospital deathbed room, 2nd grade nurse, 1st grade social worker (assistance activity Included)"
"호스피스 병원 임종실, 간호사2등급, 사회복지사2등급(보조활동포함)","Hospice hospital deathbed room, 2nd grade nurse, 2nd grade social worker (assistance activity Included)"
호스피스 의원 임종실(보조활동포함),Hospice clinic deathbed room (assistance activity Included)
"호스피스 의원 임종실, 사회복지사1등급(보조활동포함)","Hospice clinic deathbed room, 1st grade social worker (assistance activity Included)"
"호스피스 의원 임종실, 사회복지사2등급(보조활동포함)","Hospice clinic deathbed room, 2nd grade social worker (assistance activity Included)"
"호스피스 의원 임종실, 간호사1등급(보조활동포함)","Hospice clinic deathbed room, 1st grade nurse (assistance activity Included)"
"호스피스 의원 임종실, 간호사1등급, 사회복지사1등급(보조활동포함)","Hospice clinic deathbed room, 1st grade nurse, 1st grade social worker (assistance activity Included)"
"호스피스 의원 임종실, 간호사1등급, 사회복지사2등급(보조활동포함)","Hospice clinic deathbed room, 1st grade nurse, 2nd grade social worker (assistance activity Included)"
"호스피스 의원 임종실, 간호사2등급(보조활동포함)","Hospice clinic deathbed room, 2nd grade nurse (assistance activity Included)"
"호스피스 의원 임종실, 간호사2등급, 사회복지사1등급(보조활동포함)","Hospice clinic deathbed room, 2nd grade nurse, 1st grade social worker (assistance activity Included)"
"호스피스 의원 임종실, 간호사2등급, 사회복지사2등급(보조활동포함)","Hospice clinic deathbed room, 2nd grade nurse, 2nd grade social worker (assistance activity Included)"
호스피스 상급종합병원 4인실(보조활동미포함),Hospice senior general hospital four-persons room (assistance activity not included)
"호스피스 상급종합병원 4인실, 사회복지사1등급(보조활동미포함)","Hospice senior general hospital four-persons room, 1st grade social worker (assistance activity not included)"
"호스피스 상급종합병원 4인실, 사회복지사2등급(보조활동미포함)","Hospice senior general hospital four-persons room, 2nd grade social worker (assistance activity not included)"
"호스피스 상급종합병원 4인실, 진료의뢰 당일(보조활동미포함)","Hospice senior general hospital four-persons room, on the day of medical request (assistance activity not included)"
"호스피스 상급종합병원 4인실, 외박(보조활동미포함)","Hospice senior general hospital four-persons room, stay out overnight (assistance activity not included)"
"호스피스 상급종합병원 4인실, 간호사1등급(보조활동미포함)","Hospice senior general hospital four-persons room, 1st grade nurse (assistance activity not included)"
"호스피스 상급종합병원 4인실, 간호사1등급, 사회복지사1등급 (보조활동미포함)","Hospice senior general hospital four-persons room, 1st grade nurse, 1st grade social worker (assistance activity not included)"
"호스피스 상급종합병원 4인실, 간호사1등급, 사회복지사1등급(보조활동미포함)","Hospice senior general hospital four-persons room, 1st grade nurse, 1st grade social worker (assistance activity not included)"
"호스피스 상급종합병원 4인실, 간호사1등급, 사회복지사2등급(보조활동미포함)","Hospice senior general hospital four-persons room, 1st grade nurse, 2nd grade social worker (assistance activity not included)"
"호스피스 상급종합병원 4인실, 간호사2등급(보조활동미포함)","Hospice senior general hospital four-persons room, 2nd grade nurse (assistance activity not included)"
"호스피스 상급종합병원 4인실, 간호사2등급, 사회복지사1등급(보조활동미포함)","Hospice senior general hospital four-persons room, 2nd grade nurse, 1st grade social worker (assistance activity not included)"
"호스피스 상급종합병원 4인실, 간호사2등급, 사회복지사2등급(보조활동미포함)","Hospice senior general hospital four-persons room, 2nd grade nurse, 2nd grade social worker (assistance activity not included)"
호스피스 상급종합병원 2~3인실(보조활동미포함),Hospice senior general hospital two-to-three persons room (assistance activity not included)
"호스피스 상급종합병원 2~3인실, 사회복지사1등급(보조활동미포함)","Hospice senior general hospital two-to-three persons room, 1st grade social worker (assistance activity not included)"
"호스피스 상급종합병원 2~3인실, 사회복지사2등급(보조활동미포함)","Hospice senior general hospital two-to-three persons room, 2nd grade social worker (assistance activity not included)"
"호스피스 상급종합병원 2~3인실, 진료의뢰 당일(보조활동미포함)","Hospice senior general hospital two-to-three persons room, on the day of medical request (assistance activity not included)"
"호스피스 상급종합병원 2~3인실, 외박(보조활동미포함)","Hospice senior general hospital two-to-three persons room, stay out overnight (assistance activity not included)"
"호스피스 상급종합병원 2~3인실, 간호사1등급(보조활동미포함)","Hospice senior general hospital two-to-three persons room, 1st grade nurse (assistance activity not included)"
"호스피스 상급종합병원 2~3인실, 간호사1등급, 사회복지사1등급(보조활동미포함)","Hospice senior general hospital two-to-three persons room, 1st grade nurse, 1st grade social worker (assistance activity not included)"
"호스피스 상급종합병원 2~3인실, 간호사1등급, 사회복지사2등급(보조활동미포함)","Hospice senior general hospital two-to-three persons room, 1st grade nurse, 2nd grade social worker (assistance activity not included)"
"호스피스 상급종합병원 2~3인실, 간호사2등급(보조활동미포함)","Hospice senior general hospital two-to-three persons room, 2nd grade nurse (assistance activity not included)"
"호스피스 상급종합병원 2~3인실, 간호사2등급, 사회복지사1등급(보조활동미포함)","Hospice senior general hospital two-to-three persons room, 2nd grade nurse, 1st grade social worker (assistance activity not included)"
"호스피스 상급종합병원 2~3인실, 간호사2등급, 사회복지사2등급(보조활동미포함)","Hospice senior general hospital two-to-three persons room, 2nd grade nurse, 2nd grade social worker (assistance activity not included)"
호스피스 상급종합병원 1인실(보조활동미포함),Hospice senior general hospital single room (assistance activity not included)
"호스피스 상급종합병원 1인실, 사회복지사1등급(보조활동미포함)","Hospice senior general hospital single room, 1st grade social worker (assistance activity not included)"
"호스피스 상급종합병원 1인실, 사회복지사2등급(보조활동미포함)","Hospice senior general hospital single room, 2nd grade social worker (assistance activity not included)"
"호스피스 상급종합병원 1인실, 진료의뢰 당일(보조활동미포함)","Hospice senior general hospital single room, on the day of medical request (assistance activity not included)"
"호스피스 상급종합병원 1인실, 외박(보조활동미포함)","Hospice senior general hospital single room, stay out overnight (assistance activity not included)"
"호스피스 상급종합병원 1인실, 간호사1등급(보조활동미포함)","Hospice senior general hospital single room, 1st grade nurse (assistance activity not included)"
"호스피스 상급종합병원 1인실, 간호사1등급, 사회복지사1등급(보조활동미포함)","Hospice senior general hospital single room, 1st grade nurse, 1st grade social worker (assistance activity not included)"
"호스피스 상급종합병원 1인실, 간호사1등급, 사회복지사2등급(보조활동미포함)","Hospice senior general hospital single room, 1st grade nurse, 2nd grade social worker (assistance activity not included)"
"호스피스 상급종합병원 1인실, 간호사2등급(보조활동미포함)","Hospice senior general hospital single room, 2nd grade nurse (assistance activity not included)"
"호스피스 상급종합병원 1인실, 간호사2등급, 사회복지사1등급(보조활동미포함)","Hospice senior general hospital single room, 2nd grade nurse, 1st grade social worker (assistance activity not included)"
"호스피스 상급종합병원 1인실, 간호사2등급, 사회복지사2등급(보조활동미포함)","Hospice senior general hospital single room, 2nd grade nurse, 2nd grade social worker (assistance activity not included)"
호스피스 종합병원 4인실(보조활동미포함),Hospice general hospital four-persons room (assistance activity not included)
"호스피스 종합병원 4인실, 사회복지사1등급(보조활동미포함)","Hospice general hospital four-persons room, 1st grade social worker (assistance activity not included)"
"호스피스 종합병원 4인실, 사회복지사2등급(보조활동미포함)","Hospice general hospital four-persons room, 2nd grade social worker (assistance activity not included)"
"호스피스 종합병원 4인실, 진료의뢰 당일(보조활동미포함)","Hospice general hospital four-persons room, on the day of medical request (assistance activity not included)"
"호스피스 종합병원 4인실, 외박(보조활동미포함)","Hospice general hospital four-persons room, stay out overnight (assistance activity not included)"
"호스피스 종합병원 4인실, 간호사1등급(보조활동미포함)","Hospice general hospital four-persons room, 1st grade nurse (assistance activity not included)"
"호스피스 종합병원 4인실, 간호사1등급, 사회복지사1등급 (보조활동미포함)","Hospice general hospital four-persons room, 1st grade nurse, 1st grade social worker (assistance activity not included)"
"호스피스 종합병원 4인실, 간호사1등급, 사회복지사1등급(보조활동미포함)","Hospice general hospital four-persons room, 1st grade nurse, 1st grade social worker (assistance activity not included)"
"호스피스 종합병원 4인실, 간호사1등급, 사회복지사2등급(보조활동미포함)","Hospice general hospital four-persons room, 1st grade nurse, 2nd grade social worker (assistance activity not included)"
"호스피스 종합병원 4인실, 간호사2등급(보조활동미포함)","Hospice general hospital four-persons room, 2nd grade nurse (assistance activity not included)"
"호스피스 종합병원 4인실, 간호사2등급, 사회복지사1등급(보조활동미포함)","Hospice general hospital four-persons room, 2nd grade nurse, 1st grade social worker (assistance activity not included)"
"호스피스 종합병원 4인실, 간호사2등급, 사회복지사2등급(보조활동미포함)","Hospice general hospital four-persons room, 2nd grade nurse, 2nd grade social worker (assistance activity not included)"
호스피스 종합병원 2~3인실(보조활동미포함),Hospice general hospital two-to-three persons room (assistance activity not included)
"호스피스 종합병원 2~3인실, 사회복지사1등급(보조활동미포함)","Hospice general hospital two-to-three persons room, 1st grade social worker (assistance activity not included)"
"호스피스 종합병원 2~3인실, 사회복지사2등급(보조활동미포함)","Hospice general hospital two-to-three persons room, 2nd grade social worker (assistance activity not included)"
"호스피스 종합병원 2~3인실, 진료의뢰 당일(보조활동미포함)","Hospice general hospital two-to-three persons room, on the day of medical request (assistance activity not included)"
"호스피스 종합병원 2~3인실, 외박(보조활동미포함)","Hospice general hospital two-to-three persons room, stay out overnight (assistance activity not included)"
"호스피스 종합병원 2~3인실, 간호사1등급(보조활동미포함)","Hospice general hospital two-to-three persons room, 1st grade nurse (assistance activity not included)"
"호스피스 종합병원 2~3인실, 간호사1등급, 사회복지사1등급(보조활동미포함)","Hospice general hospital two-to-three persons room, 1st grade nurse, 1st grade social worker (assistance activity not included)"
"호스피스 종합병원 2~3인실, 간호사1등급, 사회복지사2등급(보조활동미포함)","Hospice general hospital two-to-three persons room, 1st grade nurse, 2nd grade social worker ((assistance activity not included)"
"호스피스 종합병원 2~3인실, 간호사2등급(보조활동미포함)","Hospice general hospital two-to-three persons room, 2nd grade nurse (assistance activity not included)"
"호스피스 종합병원 2~3인실, 간호사2등급, 사회복지사1등급(보조활동미포함)","Hospice general hospital two-to-three persons room, 2nd grade nurse, 1st grade social worker (assistance activity not included)"
"호스피스 종합병원 2~3인실, 간호사2등급, 사회복지사2등급(보조활동미포함)","Hospice general hospital two-to-three persons room, 2nd grade nurse, 2nd grade social worker (assistance activity not included)"
호스피스 종합병원 1인실(보조활동미포함),Hospice general hospital single room (assistance activity not included)
"호스피스 종합병원 1인실, 사회복지사1등급(보조활동미포함)","Hospice general hospital single room, 1st grade social worker (assistance activity not included)"
"호스피스 종합병원 1인실, 사회복지사2등급(보조활동미포함)","Hospice general hospital single room, 2nd grade social worker (assistance activity not included)"
"호스피스 종합병원 1인실, 진료의뢰 당일(보조활동미포함)","Hospice general hospital single room, on the day of medical request (assistance activity not included)"
"호스피스 종합병원 1인실, 외박(보조활동미포함)","Hospice general hospital single room, stay out overnight (assistance activity not included)"
"호스피스 종합병원 1인실, 간호사1등급(보조활동미포함)","Hospice general hospital single room, 1st grade nurse (assistance activity not included)"
"호스피스 종합병원 1인실, 간호사1등급, 사회복지사1등급(보조활동미포함)","Hospice general hospital single room, 1st grade nurse, 1st grade social worker (assistance activity not included)"
"호스피스 종합병원 1인실, 간호사1등급, 사회복지사2등급(보조활동미포함)","Hospice general hospital single room, 1st grade nurse, 2nd grade social worker (assistance activity not included)"
"호스피스 종합병원 1인실, 간호사2등급(보조활동미포함)","Hospice general hospital single room, 2nd grade nurse (assistance activity not included)"
"호스피스 종합병원 1인실, 간호사2등급, 사회복지사1등급(보조활동미포함)","Hospice general hospital single room, 2nd grade nurse, 1st grade social worker (assistance activity not included)"
"호스피스 종합병원 1인실, 간호사2등급, 사회복지사2등급(보조활동미포함)","Hospice general hospital single room, 2nd grade nurse, 2nd grade social worker (assistance activity not included)"
호스피스 병원 4인실(보조활동미포함),Hospice hospital four-persons room (assistance activity not included)
"호스피스 병원 4인실, 사회복지사1등급(보조활동미포함)","Hospice hospital four-persons room, 1st grade social worker (assistance activity not included)"
"호스피스 병원 4인실, 사회복지사2등급(보조활동미포함)","Hospice hospital four-persons room, 2nd grade social worker (assistance activity not included)"
"호스피스 병원 4인실, 진료의뢰 당일(보조활동미포함)","Hospice hospital four-persons room, on the day of medical request (assistance activity not included)"
"호스피스 병원 4인실, 외박(보조활동미포함)","Hospice hospital four-persons room, stay out overnight (assistance activity not included)"
"호스피스 병원 4인실, 간호사1등급(보조활동미포함)","Hospice hospital four-persons room, 1st grade nurse (assistance activity not included)"
"호스피스 병원 4인실, 간호사1등급, 사회복지사1등급 (보조활동미포함)","Hospice hospital four-persons room, 1st grade nurse, 1st grade social worker (assistance activity not included)"
"호스피스 병원 4인실, 간호사1등급, 사회복지사1등급(보조활동미포함)","Hospice hospital four-persons room, 1st grade nurse, 1st grade social worker (assistance activity not included)"
"호스피스 병원 4인실, 간호사1등급, 사회복지사2등급(보조활동미포함)","Hospice hospital four-persons room, 1st grade nurse, 2nd grade social worker (assistance activity not included)"
"호스피스 병원 4인실, 간호사2등급(보조활동미포함)","Hospice hospital four-persons room, 2nd grade nurse (assistance activity not included)"
"호스피스 병원 4인실, 간호사2등급, 사회복지사1등급(보조활동미포함)","Hospice hospital four-persons room, 2nd grade nurse, 1st grade social worker (assistance activity not included)"
"호스피스 병원 4인실, 간호사2등급, 사회복지사2등급(보조활동미포함)","Hospice hospital four-persons room, 2nd grade nurse, 2nd grade social worker (assistance activity not included)"
호스피스 병원 2~3인실(보조활동미포함),Hospice hospital two-to-three persons room (assistance activity not included)
"호스피스 병원 2~3인실, 사회복지사1등급(보조활동미포함)","Hospice hospital two-to-three persons room, 1st grade social worker (assistance activity not included)"
"호스피스 병원 2~3인실, 사회복지사2등급(보조활동미포함)","Hospice hospital two-to-three persons room, 2nd grade social worker (assistance activity not included)"
"호스피스 병원 2~3인실, 진료의뢰 당일(보조활동미포함)","Hospice hospital two-to-three persons room, on the day of medical request (assistance activity not included)"
"호스피스 병원 2~3인실, 외박(보조활동미포함)","Hospice hospital two-to-three persons room, stay out overnight (assistance activity not included)"
"호스피스 병원 2~3인실, 간호사1등급(보조활동미포함)","Hospice hospital two-to-three persons room, 1st grade nurse (assistance activity not included)"
"호스피스 병원 2~3인실, 간호사1등급, 사회복지사1등급(보조활동미포함)","Hospice hospital two-to-three persons room, 1st grade nurse, 1st grade social worker (assistance activity not included)"
"호스피스 병원 2~3인실, 간호사1등급, 사회복지사2등급(보조활동미포함)","Hospice hospital two-to-three persons room, 1st grade nurse, 2nd grade social worker (assistance activity not included)"
"호스피스 병원 2~3인실, 간호사2등급(보조활동미포함)","Hospice hospital two-to-three persons room, 2nd grade nurse (assistance activity not included)"
"호스피스 병원 2~3인실, 간호사2등급, 사회복지사1등급(보조활동미포함)","Hospice hospital two-to-three persons room, 2nd grade nurse, 1st grade social worker (assistance activity not included)"
"호스피스 병원 2~3인실, 간호사2등급, 사회복지사2등급(보조활동미포함)","Hospice hospital two-to-three persons room, 2nd grade nurse, 2nd grade social worker (assistance activity not included)"
호스피스 병원 1인실(보조활동미포함),Hospice hospital single room (assistance activity not included)
"호스피스 병원 1인실, 사회복지사1등급(보조활동미포함)","Hospice hospital single room, 1st grade social worker (assistance activity not included)"
"호스피스 병원 1인실, 사회복지사2등급(보조활동미포함)","Hospice hospital single room, 2nd grade social worker (assistance activity not included)"
"호스피스 병원 1인실, 진료의뢰 당일(보조활동미포함)","Hospice hospital single room, on the day of medical request (assistance activity not included)"
"호스피스 병원 1인실, 외박(보조활동미포함)","Hospice hospital single room, stay out overnight (assistance activity not included)"
"호스피스 병원 1인실, 간호사1등급(보조활동미포함)","Hospice hospital single room, 1st grade nurse (assistance activity not included)"
"호스피스 병원 1인실, 간호사1등급, 사회복지사1등급(보조활동미포함)","Hospice hospital single room, 1st grade nurse, 1st grade social worker (assistance activity not included)"
"호스피스 병원 1인실, 간호사1등급, 사회복지사2등급(보조활동미포함)","Hospice hospital single room, 1st grade nurse, 2nd grade social worker (assistance activity not included)"
"호스피스 병원 1인실, 간호사2등급(보조활동미포함)","Hospice hospital single room, 2nd grade nurse (assistance activity not included)"
"호스피스 병원 1인실, 간호사2등급, 사회복지사1등급(보조활동미포함)","Hospice hospital single room, 2nd grade nurse, 1st grade social worker (assistance activity not included)"
"호스피스 병원 1인실, 간호사2등급, 사회복지사2등급(보조활동미포함)","Hospice hospital single room, 2nd grade nurse, 2nd grade social worker (assistance activity not included)"
호스피스 의원 4인실(보조활동미포함),Hospice clinic four-persons room (assistance activity not included)
"호스피스 의원 4인실, 사회복지사1등급(보조활동미포함)","Hospice clinic four-persons room, 1st grade social worker (assistance activity not included)"
"호스피스 의원 4인실, 사회복지사2등급(보조활동미포함)","Hospice clinic four-persons room, 2nd grade social worker (assistance activity not included)"
"호스피스 의원 4인실, 진료의뢰 당일(보조활동미포함)","Hospice clinic four-persons room, on the day of medical request (assistance activity not included)"
"호스피스 의원 4인실, 외박(보조활동미포함)","Hospice clinic four-persons room, stay out overnight (assistance activity not included)"
"호스피스 의원 4인실, 간호사1등급(보조활동미포함)","Hospice clinic four-persons room, 1st grade nurse (assistance activity not included)"
"호스피스 의원 4인실, 간호사1등급, 사회복지사1등급 (보조활동미포함)","Hospice clinic four-persons room, 1st grade nurse, 1st grade social worker (assistance activity not included)"
"호스피스 의원 4인실, 간호사1등급, 사회복지사1등급(보조활동미포함)","Hospice clinic four-persons room, 1st grade nurse, 1st grade social worker (assistance activity not included)"
"호스피스 의원 4인실, 간호사1등급, 사회복지사2등급(보조활동미포함)","Hospice clinic four-persons room, 1st grade nurse, 2nd grade social worker (assistance activity not included)"
"호스피스 의원 4인실, 간호사2등급(보조활동미포함)","Hospice clinic four-persons room, 2nd grade nurse (assistance activity not included)"
"호스피스 의원 4인실, 간호사2등급, 사회복지사1등급(보조활동미포함)","Hospice clinic four-persons room, 2nd grade nurse, 1st grade social worker (assistance activity not included)"
"호스피스 의원 4인실, 간호사2등급, 사회복지사2등급(보조활동미포함)","Hospice clinic four-persons room, 2nd grade nurse, 2nd grade social worker (assistance activity not included)"
호스피스 의원 2~3인실(보조활동미포함),Hospice clinic two-to-three persons room (assistance activity not included)
"호스피스 의원 2~3인실, 사회복지사1등급(보조활동미포함)","Hospice clinic two-to-three persons room, 1st grade social worker (assistance activity not included)"
"호스피스 의원 2~3인실, 사회복지사2등급(보조활동미포함)","Hospice clinic two-to-three persons room, 2nd grade social worker (assistance activity not included)"
"호스피스 의원 2~3인실, 진료의뢰 당일(보조활동미포함)","Hospice clinic two-to-three persons room, on the day of medical request (assistance activity not included)"
"호스피스 의원 2~3인실, 외박(보조활동미포함)","Hospice clinic two-to-three persons room, stay out overnight (assistance activity not included)"
"호스피스 의원 2~3인실, 간호사1등급(보조활동미포함)","Hospice clinic two-to-three persons room, 1st grade nurse (assistance activity not included)"
"호스피스 의원 2~3인실, 간호사1등급, 사회복지사1등급(보조활동미포함)","Hospice clinic two-to-three persons room, 1st grade nurse, 1st grade social worker (assistance activity not included)"
"호스피스 의원 2~3인실, 간호사1등급, 사회복지사2등급(보조활동미포함)","Hospice clinic two-to-three persons room, 1st grade nurse, 2nd grade social worker (assistance activity not included)"
"호스피스 의원 2~3인실, 간호사2등급(보조활동미포함)","Hospice clinic two-to-three persons room, 2nd grade nurse (assistance activity not included)"
"호스피스 의원 2~3인실, 간호사2등급, 사회복지사1등급(보조활동미포함)","Hospice clinic two-to-three persons room, 2nd grade nurse, 1st grade social worker (assistance activity not included)"
"호스피스 의원 2~3인실, 간호사2등급, 사회복지사2등급(보조활동미포함)","Hospice clinic two-to-three persons room, 2nd grade nurse, 2nd grade social worker (assistance activity not included)"
호스피스 의원 1인실(보조활동미포함),Hospice clinic single room (assistance activity not included)
"호스피스 의원 1인실, 사회복지사1등급(보조활동미포함)","Hospice clinic single room, 1st grade social worker (assistance activity not included)"
"호스피스 의원 1인실, 사회복지사2등급(보조활동미포함)","Hospice clinic single room, 2nd grade social worker (assistance activity not included)"
"호스피스 의원 1인실, 진료의뢰 당일(보조활동미포함)","Hospice clinic single room, on the day of medical request (assistance activity not included)"
"호스피스 의원 1인실, 외박(보조활동미포함)","Hospice clinic single room, stay out overnight (assistance activity not included)"
"호스피스 의원 1인실, 간호사1등급(보조활동미포함)","Hospice clinic single room, 1st grade nurse (assistance activity not included))"
"호스피스 의원 1인실, 간호사1등급, 사회복지사1등급(보조활동미포함)","Hospice clinic single room, 1st grade nurse, 1st grade social worker (assistance activity not included)"
"호스피스 의원 1인실, 간호사1등급, 사회복지사2등급(보조활동미포함)","Hospice clinic single room, 1st grade nurse, 2nd grade social worker (assistance activity not included)"
"호스피스 의원 1인실, 간호사2등급(보조활동미포함)","Hospice clinic single room, 2nd grade nurse (assistance activity not included)"
"호스피스 의원 1인실, 간호사2등급, 사회복지사1등급(보조활동미포함)","Hospice clinic single room, 2nd grade nurse, 1st grade social worker (assistance activity not included)"
"호스피스 의원 1인실, 간호사2등급, 사회복지사2등급(보조활동미포함)","Hospice clinic single room, 2nd grade nurse, 2nd grade social worker (assistance activity not included)"
호스피스 상급종합병원 격리실(보조활동미포함),Hospice senior general hospital isolation room (assistance activity not included)
"호스피스 상급종합병원 격리실, 사회복지사1등급(보조활동미포함)","Hospice senior general hospital isolation room, 1st grade social worker (assistance activity not included)"
"호스피스 상급종합병원 격리실, 사회복지사2등급(보조활동미포함)","Hospice senior general hospital isolation room, 2nd grade social worker (assistance activity not included)"
호스피스 상급종합병원 격리실 진료의뢰 당일(보조활동미포함),"Hospice senior general hospital isolation room, on the day of medical request (assistance activity not included)"
"호스피스 상급종합병원 격리실, 간호사1등급(보조활동미포함)","Hospice senior general hospital isolation room, 1st grade nurse (assistance activity not included)"
"호스피스 상급종합병원 격리실, 간호사1등급, 사회복지사1등급(보조활동미포함)","Hospice senior general hospital isolation room, 1st grade nurse, 1st grade social worker (assistance activity not included)"
"호스피스 상급종합병원 격리실, 간호사1등급, 사회복지사2등급(보조활동미포함)","Hospice senior general hospital isolation room, 1st grade nurse, 2nd grade social worker (assistance activity not included)"
"호스피스 상급종합병원 격리실, 간호사2등급(보조활동미포함)","Hospice senior general hospital isolation room, 2nd grade nurse (assistance activity not included)"
"호스피스 상급종합병원 격리실, 간호사2등급, 사회복지사1등급(보조활동미포함)","Hospice senior general hospital isolation room, 2nd grade nurse, 1st grade social worker (assistance activity not included)"
"호스피스 상급종합병원 격리실, 간호사2등급, 사회복지사2등급(보조활동미포함)","Hospice senior general hospital isolation room, 2nd grade nurse, 2nd grade social worker (assistance activity not included)"
호스피스 종합병원 격리실(보조활동미포함),Hospice general hospital isolation room (assistance activity not included)
"호스피스 종합병원 격리실, 사회복지사1등급(보조활동미포함)","Hospice general hospital isolation room, 1st grade social worker (assistance activity not included)"
"호스피스 종합병원 격리실, 사회복지사2등급(보조활동미포함)","Hospice general hospital isolation room, 2nd grade social worker (assistance activity not included)"
호스피스 종합병원 격리실 진료의뢰 당일(보조활동미포함),"Hospice general hospital isolation room, on the day of medical request (assistance activity not included)"
"호스피스 종합병원 격리실, 간호사1등급(보조활동미포함)","Hospice general hospital isolation room, 1st grade nurse (assistance activity not included)"
"호스피스 종합병원 격리실, 간호사1등급, 사회복지사1등급(보조활동미포함)","Hospice general hospital isolation room, 1st grade nurse, 1st grade social worker (assistance activity not included)"
"호스피스 종합병원 격리실, 간호사1등급, 사회복지사2등급(보조활동미포함)","Hospice general hospital isolation room, 1st grade nurse, 2nd grade social worker (assistance activity not included)"
"호스피스 종합병원 격리실, 간호사2등급(보조활동미포함)","Hospice general hospital isolation room, 2nd grade nurse (assistance activity not included)"
"호스피스 종합병원 격리실, 간호사2등급, 사회복지사1등급(보조활동미포함)","Hospice general hospital isolation room, 2nd grade nurse, 1st grade social worker (assistance activity not included)"
"호스피스 종합병원 격리실, 간호사2등급, 사회복지사2등급(보조활동미포함)","Hospice general hospital isolation room, 2nd grade nurse, 2nd grade social worker (assistance activity not included)"
호스피스 병원 격리실(보조활동미포함),Hospice hospital isolation room (assistance activity not included)
"호스피스 병원 격리실, 사회복지사1등급(보조활동미포함)","Hospice hospital isolation room, 1st grade social worker (assistance activity not included)"
"호스피스 병원 격리실, 사회복지사2등급(보조활동미포함)","Hospice hospital isolation room, 2nd grade social worker (assistance activity not included)"
호스피스 병원 격리실 진료의뢰 당일(보조활동미포함),"Hospice hospital isolation room, on the day of medical request (assistance activity not included)"
"호스피스 병원 격리실, 간호사1등급(보조활동미포함)","Hospice hospital isolation room, 1st grade nurse (assistance activity not included)"
"호스피스 병원 격리실, 간호사1등급, 사회복지사1등급(보조활동미포함)","Hospice hospital isolation room, 1st grade nurse, 1st grade social worker (assistance activity not included)"
"호스피스 병원 격리실, 간호사1등급, 사회복지사2등급(보조활동미포함)","Hospice hospital isolation room, 1st grade nurse, 2nd grade social worker (assistance activity not included)"
"호스피스 병원 격리실, 간호사2등급(보조활동미포함)","Hospice hospital isolation room, 2nd grade nurse (assistance activity not included)"
"호스피스 병원 격리실, 간호사2등급, 사회복지사1등급(보조활동미포함)","Hospice hospital isolation room, 2nd grade nurse, 1st grade social worker (assistance activity not included)"
"호스피스 병원 격리실, 간호사2등급, 사회복지사2등급(보조활동미포함)","Hospice hospital isolation room, 2nd grade nurse, 2nd grade social worker (assistance activity not included)"
호스피스 의원 격리실(보조활동미포함),Hospice clinic isolation room (assistance activity not included)
"호스피스 의원 격리실, 사회복지사1등급(보조활동미포함)","Hospice clinic isolation room, 1st grade social worker (assistance activity not included)"
"호스피스 의원 격리실, 사회복지사2등급(보조활동미포함)","Hospice clinic isolation room, 2nd grade social worker (assistance activity not included)"
호스피스 의원 격리실 진료의뢰 당일(보조활동미포함),"Hospice clinic isolation room, on the day of medical request (assistance activity not included)"
"호스피스 의원 격리실, 간호사1등급(보조활동미포함)","Hospice clinic isolation room, 1st grade nurse (assistance activity not included)"
"호스피스 의원 격리실, 간호사1등급, 사회복지사1등급(보조활동미포함)","Hospice clinic isolation room, 1st grade nurse, 1st grade social worker (assistance activity not included)"
"호스피스 의원 격리실, 간호사1등급, 사회복지사2등급(보조활동미포함)","Hospice clinic isolation room, 1st grade nurse, 2nd grade social worker (assistance activity not included)"
"호스피스 의원 격리실, 간호사2등급(보조활동미포함)","Hospice clinic isolation room, 2nd grade nurse (assistance activity not included)"
"호스피스 의원 격리실, 간호사2등급, 사회복지사1등급(보조활동미포함)","Hospice clinic isolation room, 2nd grade nurse, 1st grade social worker (assistance activity not included)"
"호스피스 의원 격리실, 간호사2등급, 사회복지사2등급(보조활동미포함)","Hospice clinic isolation room, 2nd grade nurse, 2nd grade social worker (assistance activity not included)"
호스피스 상급종합병원 임종실(보조활동미포함),"Hospice senior general hospital deathbed room, (assistance activity not included)"
